Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cruise Ship,Cuba,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Finland,France,French Guiana,Gabon,Georgia,Germany,Ghana,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guyana,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mauritania,Mayotte,Mexico,Moldova,Monaco,Mongolia,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Reunion,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,The Bahamas,Togo,Trinidad and Tobago,Tunisia,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,occupied Palestinian territory
1.0,,17.0,1.0,,31.0,1.0,,13.0,55.0,11.0,55.0,,6.0,1.0,,1.0,,24.0,13.0,,,,1.0,4.0,5.0,,43.0,11891,54.0,,,35.0,,11.0,454.0,,,91.0,37.0,5.0,17.0,1.0,,10.0,,,1.0,6.0,,,4.0,12.0,,46.0,,,,,,,,1.0,,30.0,58.0,3.0,34.0,593.0,35.0,34.0,10.0,3.0,,20,,1.0,,,12,,58.0,10.0,13.0,,4.0,1.0,5.0,10.0,,,,,,7.0,,1.0,,6.0,,1.0,265.0,5.0,2.0,3.0,147.0,16.0,6.0,,,86.0,3.0,103.0,59.0,,24.0,,,9.0,2.0,,,,36.0,45.0,4.0,55.0,,18.0,63.0,219.0,,51.0,2.0,1.0,,,1.0,214.0,10,,19,,1.0,,18.0,,8,3.0,7.0,8.0,,,,6.0,
1.0,,17.0,1.0,,34.0,4.0,,14.0,79.0,11.0,60.0,,9.0,1.0,,,,25.0,20.0,,,,1.0,,5.0,,61.0,16630,,,,,,12.0,542.0,,,94.0,92.0,5.0,17.0,1.0,,10.0,,,1.0,6.0,,,13.0,13.0,,73.0,,,,,,,,,,32.0,69.0,3.0,69.0,978.0,40.0,43.0,12.0,3.0,,20,,1.0,,,15,,58.0,17.0,13.0,,4.0,1.0,7.0,12.0,,,,,,7.0,,1.0,,7.0,,1.0,321.0,5.0,2.0,3.0,176.0,16.0,6.0,,,,3.0,119.0,112.0,,262.0,,,15.0,2.0,,,,36.0,86.0,10.0,,,18.0,,253.0,,62.0,2.0,1.0,,,1.0,268.0,10,,19,,,,18.0,,8,3.0,7.0,8.0,,,,8.0,
1.0,,19.0,1.0,,45.0,8.0,,15.0,104.0,15.0,85.0,,9.0,1.0,,,,,25.0,,,,1.0,,7.0,,74.0,19716,,,,,,12.0,621.0,,,141.0,264.0,5.0,17.0,1.0,,12.0,,,1.0,6.0,,,15.0,13.0,,73.0,,,,,,,,,,39.0,85.0,3.0,96.0,1501.0,54.0,43.0,15.0,3.0,,20,,8.0,,,15,,61.0,26.0,13.0,,4.0,3.0,19.0,12.0,,,,,,8.0,,2.0,,17.0,,1.0,382.0,5.0,2.0,3.0,205.0,16.0,6.0,,,,3.0,177.0,169.0,,262.0,,,15.0,2.0,,,,51.0,103.0,10.0,,,24.0,,,,,2.0,1.0,,,1.0,337.0,10,,19,,,,20.0,,11,3.0,8.0,9.0,,,,8.0,
4.0,,20.0,1.0,,56.0,18.0,,15.0,131.0,15.0,85.0,,12.0,1.0,,,,,31.0,,,,1.0,,7.0,,155.0,23707,,,,,,12.0,634.0,,,189.0,444.0,11.0,28.0,1.0,,16.0,,,1.0,6.0,,,15.0,14.0,,89.0,,,,,,,,,,,103.0,3.0,117.0,2336.0,60.0,90.0,20.0,3.0,,22,,17.0,,,16,,64.0,30.0,16.0,,,3.0,34.0,12.0,,,,,,12.0,,2.0,,28.0,,1.0,503.0,5.0,2.0,7.0,400.0,16.0,16.0,,,,3.0,,245.0,,320.0,,,25.0,2.0,,,,62.0,103.0,24.0,,,28.0,,,,,2.0,1.0,,,1.0,374.0,11,,25,,,,,,11,7.0,8.0,9.0,,,,8.0,
4.0,,20.0,2.0,,,26.0,,15.0,182.0,23.0,95.0,,27.0,1.0,,,,,38.0,,,,1.0,,7.0,,,27440,,,,,,14.0,634.0,,,253.0,617.0,11.0,28.0,1.0,,16.0,,,1.0,6.0,,,24.0,14.0,,99.0,,,,,,,,,,,134.0,3.0,134.0,2922.0,60.0,129.0,37.0,3.0,,22,,,,,19,,64.0,34.0,22.0,,,6.0,51.0,16.0,,,,,,12.0,,2.0,,29.0,,1.0,503.0,5.0,2.0,7.0,598.0,16.0,19.0,,,,3.0,,331.0,,337.0,,,45.0,2.0,,,,69.0,118.0,24.0,,,28.0,,,,,2.0,1.0,,,1.0,491.0,11,,25,,,,,,11,,8.0,9.0,,,,10.0,
5.0,,20.0,,,,52.0,,15.0,246.0,15.0,110.0,,27.0,1.0,,,,,52.0,,,,1.0,,7.0,,,30587,,,,,,19.0,634.0,,,298.0,804.0,11.0,37.0,1.0,,79.0,,,1.0,11.0,,,24.0,16.0,,99.0,,,,,,,,,,,156.0,3.0,,3513.0,71.0,129.0,43.0,3.0,,45,,,,,23,,69.0,,22.0,,,8.0,59.0,16.0,,,,,,26.0,,2.0,,,,1.0,804.0,6.0,2.0,7.0,702.0,18.0,20.0,,,,3.0,,,,401.0,,,49.0,2.0,,,,80.0,,,,,30.0,,,,,2.0,1.0,,,1.0,652.0,16,,25,,,,,,11,,8.0,9.0,,,,10.0,
7.0,,24.0,,,,,,15.0,302.0,,195.0,,27.0,1.0,,,,,151.0,,,,1.0,,7.0,,,34110,,,,,,19.0,691.0,,,,836.0,,,2.0,,115.0,,,1.0,11.0,,,25.0,16.0,,190.0,,,,,,,,,,,171.0,3.0,,4747.0,71.0,169.0,61.0,3.0,,25,,,,,24,,72.0,,32.0,,,12.0,77.0,18.0,,,,,,41.0,,7.0,,,,1.0,960.0,8.0,2.0,14.0,996.0,18.0,28.0,,,,3.0,,,,439.0,,,89.0,2.0,,,,80.0,,,,,33.0,,,,,2.0,1.0,,,1.0,652.0,16,,25,,,,,,11,,8.0,9.0,,,,13.0,
7.0,,26.0,,,,,,15.0,504.0,,195.0,,36.0,1.0,,,,,151.0,,,,1.0,,7.0,,,36814,,,,,,32.0,691.0,,,,875.0,,,2.0,,171.0,,,1.0,11.0,,,30.0,16.0,,228.0,,,,,,,,,,,180.0,3.0,,5823.0,71.0,,61.0,3.0,,25,,,,,24,,80.0,,32.0,,,17.0,,18.0,,,,,,53.0,,,,,,1.0,1136.0,8.0,2.0,14.0,1090.0,18.0,31.0,,,,3.0,,,,,,,123.0,2.0,,,,101.0,,,,,40.0,,,,,2.0,1.0,,,1.0,1139.0,17,,32,,,,,,11,,8.0,9.0,,,,13.0,
7.0,,37.0,,,,,,15.0,655.0,,189.0,,,1.0,,,,,162.0,,,,1.0,,7.0,,,39829,,,,,,38.0,691.0,,,,932.0,,,2.0,,205.0,,,1.0,11.0,,,33.0,16.0,,331.0,,,,,,,,,,,,3.0,,6566.0,101.0,,83.0,3.0,,26,,,,,25,,80.0,,41.0,,,,,18.0,,,,,,,,,,,,1.0,1414.0,,,14.0,1221.0,19.0,53.0,,,,3.0,,,,,,,131.0,2.0,,,,109.0,,,,,45.0,,,,,2.0,1.0,,,1.0,1359.0,18,,32,,,,,,11,,9.0,9.0,,,,14.0,
11.0,,48.0,,,,,,15.0,860.0,,210.0,,,1.0,,,,,200.0,,,,1.0,,7.0,,,42354,,,,,,49.0,705.0,,,,,,,2.0,,,,,1.0,11.0,,,33.0,16.0,,331.0,,,,,,,,,,,,3.0,,7161.0,110.0,,109.0,3.0,,26,,,,,27,,104.0,,61.0,,,,,19.0,,,,,,,,,,,,1.0,,,,18.0,1333.0,19.0,136.0,,,,3.0,,,,,,,158.0,2.0,,,,,,,,,47.0,,,,,2.0,1.0,,,1.0,2200.0,18,,32,,,,,,11,,9.0,9.0,,,,15.0,
