Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cruise Ship,Cuba,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Finland,France,French Guiana,Gabon,Georgia,Germany,Ghana,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guyana,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mauritania,Mayotte,Mexico,Moldova,Monaco,Mongolia,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Reunion,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,The Bahamas,Togo,Trinidad and Tobago,Tunisia,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,occupied Palestinian territory
,,,,,,,,22.0,,,,,,50.0,,,,,,,,,1.0,,11.0,,,75550,,,,,,,696.0,,,,,,,110.0,,,,,2.0,12.0,,,,27.0,,,,,,,,,,,,,,3.0,,,,,,1694.0,,105,,,,,204,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,85.0,,,,,120.0,1.0,,,14.0,,26,,35,,,,,,15,,19.0,36.0,,,,16.0,
,,,,,,,,22.0,,,,,,109.0,,,,,,,,,1.0,,11.0,,,77001,,,,,,,696.0,,,,,,,150.0,,,,,3.0,12.0,,,,46.0,,,,,,,,,,,,,,3.0,,,,,,2036.0,,122,,,,,433,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,89.0,,,,,165.0,1.0,,,15.0,,26,,35,,,,,,15,,21.0,40.0,,,,16.0,
,,,,,,,,23.0,,,,,,169.0,,,,,,,,,1.0,,13.0,,,77022,,,,,,,696.0,,,,,,,,,,,,6.0,14.0,,,,48.0,,,,,,,,,,,,,,5.0,,,,,,2502.0,,147,,,,,602,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,89.0,,,,,222.0,1.0,,,21.0,,28,,35,,,,,,15,,21.0,51.0,,,,16.0,
,,,,,,,,23.0,,,,,,200.0,,,,,,,,,1.0,,14.0,,,77241,,,,,,,696.0,,,,,,,,,,,,6.0,18.0,,,,79.0,,,,,,,,,,,,,,5.0,,,,,,3089.0,,159,,,,,833,,,,,,,,,23.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,91.0,,,,,259.0,1.0,,,35.0,,30,,35,,,,,,51,,21.0,86.0,,,,16.0,
,,,,,,,,25.0,,,,,,239.0,,,,,,,,,1.0,,20.0,,,77754,,,,,,,696.0,,,,,,,,,,,,6.0,38.0,,,,130.0,,,,,,,,,,,,,,28.0,,,,,,3858.0,,170,,,,,977,,,,,,,,,23.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,93.0,,,,,400.0,1.0,,,94.0,,31,,37,,,,,,51,,27.0,116.0,,,,16.0,
,,,,,,,,27.0,,,,,,267.0,,,,,,,,,1.0,,24.0,,,78166,,,,,,,696.0,,,,,,,,,,,,6.0,57.0,,,,159.0,,,,,,,,,,,,,,30.0,,,,,,4636.0,,189,,,,,1261,,,,,,,,,25.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,13.0,,,,,,,,,93.0,,,,,500.0,1.0,,,101.0,,32,,40,,,,,,57,,27.0,164.0,,,,16.0,
,,,,,,,,30.0,,,,,,314.0,,,,,,,,,1.0,,27.0,,,78600,,,,,,,696.0,,,,,,,,,,,,12.0,100.0,,,,196.0,,,,,,,,,,,,,,31.0,,,,,,5883.0,,214,,,,,1766,,,,,,,,,29.0,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,13.0,,,,,,,,,93.0,,,,,673.0,1.0,,,161.0,,32,,40,,,,,,58,,29.0,207.0,,,,16.0,
,,,,,,,,39.0,,,,,,314.0,,,,,,,,,1.0,,30.0,,,78928,,,,,,,696.0,,,,,,,,,,,,15.0,130.0,,,,262.0,,,,,,,,,,,,,,34.0,,,,,,7375.0,,228,,,,,2337,,,,,,,,,29.0,,,,,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,17.0,,,,,,,,,102.0,,,,,1073.0,1.0,,,203.0,,34,,41,,,,,,60,,29.0,274.0,,,,16.0,
,,,,,,,,52.0,,,,,,559.0,,,,,,,,,1.0,,33.0,,,79356,,,,,,,696.0,,,,,,,,,,,,15.0,191.0,,,,482.0,,,,,,,,,,,,,,39.0,,,,,,9172.0,,241,,,,,3150,,,,,,,,,36.0,,,,,,,,,,,,1.0,,,,,,,,,,,10.0,,,,,,,,17.0,,,,,,,,,106.0,,,,,1695.0,1.0,,,248.0,,39,,42,,,,,,68,,45.0,322.0,,,,16.0,
,,,,,,,,55.0,,,,,,689.0,,,,,,,,,1.0,,37.0,,,79932,,,,,,,,,,,,,,,,,,,23.0,204.0,,,,670.0,,,,,,,,,,,,,,43.0,,,,,,10149.0,,256,,,,,3736,,,,,,,,,50.0,,,,,,,,,,,,1.0,,,,,,,,,,,20.0,,,,,,,,20.0,,,,,,,,,108.0,,,,,2277.0,1.0,,,355.0,,40,,42,,,,,,74,,45.0,384.0,,,,16.0,
,,,,,,,,60.0,,,,,,886.0,,,,,,,,,1.0,,49.0,,,80136,,,,,,,,,,,,,,,,,,,30.0,288.0,,,,799.0,,,,,,,,,,,,,,56.0,,,,,,12462.0,,274,,,,,4335,,,,,,,,,50.0,,,,,,,,,,,,1.0,,,,,,,,,,,33.0,,,,,,,,20.0,,,,,,,,,110.0,,,,,2277.0,1.0,,,500.0,,41,,43,,,,,,98,,45.0,459.0,,,,16.0,
,,,,,,,,63.0,,,,,,1058.0,,,,,,,,,2.0,,54.0,,,80261,,,,,,,,,,,,,,,,,,,40.0,380.0,,,,1040.0,,,,,,,,,,,,,,62.0,,,,,,12462.0,,293,,,,,5186,,,,,,,,,83.0,,,,,,,,,,,,1.0,,,,,,,,,,,49.0,,,,,,,,28.0,,,,,,,,,110.0,,,,,5232.0,1.0,,,599.0,,42,,43,,,,,,118,,74.0,459.0,,,,16.0,
,,,,,,,,76.0,,,,,,,,,,,,,,,2.0,,64.0,,,80386,,,,,,,,,,,,,,,,,,,59.0,656.0,,,,1176.0,,,,,,,,,,,,,,73.0,,,,,,17660.0,,331,,,,,5621,,,,,,,,,93.0,,,,,,,,,,,,1.0,,,,,,,,,,,52.0,,,,,,,,45.0,,,,,,,,,117.0,,,,,6391.0,1.0,,,814.0,,42,,43,,,,,,149,,74.0,802.0,,,,16.0,
,,,,,,,,91.0,,,,,,,,,,,,,,,2.0,,77.0,,,80537,,,,,,,,,,,,,,,,,,,59.0,957.0,,,,1457.0,,,,,,,,,,,,,,82.0,,,,,,21157.0,,360,,,,,6088,,,,,,,,,99.0,,,,,,,,,,,,1.0,,,,,,,,,,,64.0,,,,,,,,59.0,,,,,,,,,130.0,,,,,7798.0,1.0,,,961.0,,44,,47,,,,,,217,,85.0,1144.0,,,,16.0,
,,,,,,,,107.0,,,,,,,,,,,,,,,3.0,,79.0,,,80690,,,,,,,,,,,,,,,,,,,155.0,1134.0,,,,1908.0,,,,,,,,,,,,,,102.0,,,,,,24747.0,,420,,,,,6593,,,,,,,,,117.0,,,,,,,,,,,,1.0,,,,,,,,,,,111.0,,,,,,,,63.0,,,,,,,,,138.0,,,,,9942.0,2.0,,,1022.0,,45,,48,,,,,,262,,85.0,1145.0,,,,18.0,
,,,,,,,,128.0,,,,,,,,,,,,,,,3.0,,108.0,,,80770,,,,,,,,,,,,,,,,,,,225.0,1217.0,,,,2078.0,,,,,,,,,,,,,,113.0,,,,,,27980.0,,461,,,,,7041,,,,,,,,,129.0,,,,,,,,,,,,1.0,,,,,,,,,,,140.0,,,,,,,,90.0,,,,,,,,,150.0,,,,,,2.0,,,1103.0,,45,,50,,,,,,402,,85.0,1551.0,,,,30.0,
,,,,,,,,128.0,,,,,,,,,,,,,,,5.0,,117.0,,,80823,,,,,,,,,,,,,,,,,,,244.0,1792.0,,,,3675.0,,,,,,,,,,,,,,119.0,,,,,,,,502,,,,,7314,,,,,,,,,149.0,,,,,,,,,,,,1.0,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,150.0,,,,,,6.0,,,,,45,,50,,,,,,518,,98.0,,,,,30.0,
,,,,,,,,200.0,,,,,,,,,,,,,,,7.0,,193.0,,,80860,,,,,,,,,,,,,,,,,,,277.0,2289.0,,,,4585.0,,,,,,,,,,,,,,,,,,,,,,511,,,,,7478,,,,,,,,,149.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,10.0,,,,,45,,50,,,,,,583,,98.0,,,,,31.0,
,,,,,,,,250.0,,,,,,,,,,,,,,,7.0,,198.0,,,80887,,,,,,,,,,,,,,,,,,,,2289.0,,,,5795.0,,,,,,,,,,,,,,,,,,,,,,581,,,,,7513,,,,,,,,,197.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,18.0,,,,,47,,53,,,,,,959,,,,,,,38.0,
,,,,,,,,297.0,,,,,,,,,,,,,,,7.0,,252.0,,,80921,,,,,,,,,,,,,,,,,,,,3672.0,,,,7272.0,,,,,,,,,,,,,,,,,,,,,,639,,,,,7755,,,,,,,,,238.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,28.0,,,,,48,,59,,,,,,1281,,,,,,,39.0,
,,,,,,,,377.0,,,,,,,,,,,,,,,,,415.0,,,80932,,,,,,,,,,,,,,,,,,,,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,639,,,,,7869,,,,,,,,,428.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,49,,70,,,,,,1663,,,,,,,47.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,80945,,,,,,,,,,,,,,,,,,,,4513.0,,,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,7979,,,,,,,,,566.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,,,,,,,50,,75,,,,,,2179,,,,,,,53.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,80977,,,,,,,,,,,,,,,,,,,,6650.0,,,,,,,,,,,,,,,,,,,,,,,,,,773,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,,,53,,82,,,,,,2727,,,,,,,56.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,81003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,,,,,8162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,59,,114,,,,,,3499,,,,,,,61.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,81033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,,,,8236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,147,,,,,,4632,,,,,,,,
